article_id,entail_prob,hallucination_penalty,top1
23,0.9804287552833557,0.0,Chelsea are waiting on the fitness of John Terry ahead of Wednesday's Champions League match with Valencia. Center-back Terry suffered a broken cheekbone during Saturday's 0-0 draw with Fulham. Chelsea manager Avram Grant will see how he fares during training on Tuesday.
24,0.8070175051689148,0.0,"A dire shortage of donated organs in rich countries is sending foreigners to poorer places. Doctors in Pakistan have been arrested for abducting people, drugging them and stealing their kidneys. Donors in South Africa receive $700 for a kidney compared with $30,000 in the United States. China recently banned the sale of human organs and restricted transplants for foreigners."
25,0.9144986271858215,0.0,"Lohan fans have little to fear because no actor is uninsurable, say underwriting experts. Insurance rates for errant actors can range from 1 percent to 3 percent of a movie's production budget. ""I don't think it (a problematic artist) is any more of an issue,"" expert says."
26,0.9902964234352112,0.0,Francesco Totti has threatened to quit the Italian Players Association. Totti is unhappy with the starting date of the next Serie A season. The Italian Football League voted to start the season on August 26. Italy coach Roberto Donadoni wanted the first round of matches midway through the month.
27,0.9409029483795166,0.0,"Allegations that Blackwater USA was complicit in unlawful arms activities are baseless. Federal prosecutors are investigating allegations that employees of Blackwater illegally purchased weapons. U.S. attorney's office in Raleigh, North Carolina, is in the early stages of investigation. Blackwater resumed normal security operations in Iraq on Friday."
28,0.8316817283630371,0.0,"Youssif, the burned Iraqi boy, met his favorite superhero at Universal Studios. ""It was my favorite thing,"" the boy said later. He met SpongeBob, Lassie and a 3-year-old orangutan. ""Other than my wedding day, this is the happiest day of my life"""
29,0.9800342321395874,0.0,"Cpl. Trent D. Thomas will be demoted to the rank of entry-level private. The 25-year-old was among seven Marines and a Navy medic charged in connection with the death. Thomas changed his plea from guilty to not guilty in February, arguing he had merely followed orders."
31,0.9909493327140808,0.0,"French foreign minister Bernard Kouchner has a reputation for challenging convention. He is a humanitarian as well as a patriot, with a strong commitment to human rights. He supported the US-led intervention in Iraq (while criticizing the aftermath) Washington will have been delighted by his warning to Teheran."
33,0.9628884196281433,0.12,"$2.3 billion was spent on political and issue-advocacy TV commercials in 2006. Costs to produce a TV commercial are no longer prohibitive for local and state candidates. Mitt Romney leads all candidates in TV spending, having aired his commercials more than 11,000 times. Romney is leading polls in the early voting states of Iowa and New Hampshire."
34,0.9540934562683105,0.0,"One-Two-Go jet crashed in bad weather as it landed at Phuket's airport on Sunday. Most of those killed were foreign nationals, and about 36 of the bodies still have yet to be identified. Of the 41 survivors who remain hospitalized, 38 are in stable condition and three in critical condition."
35,0.930046021938324,0.0,"Filmmaker Michael Moore, CNN's Sanjay Gupta argue over ""Sicko"" Gupta: ""I think it strikes at the irrefutable fact -- it's broken. We get it"" Moore: ""He said the facts were fudged. None of the facts are fudging"""
38,0.9594367742538452,0.0,"India has elected its first female president, official results show. Pratibha Patil, 72, was the ruling coalition's nominee for the mainly ceremonial post. She easily beat opposition-backed challenger and vice president, Bhairon Singh Shekhawat. Patil supporters took to the streets, singing and dancing after the results."
40,0.8724800944328308,0.0,"Red Cross, UNHCR, UNICEF say most children were living with their families. Zoe's Ark said children were Sudanese orphans it was trying to rescue from war-torn nation. Three French journalists, seven-member Spanish flight crew and one Belgian arrested. Representatives of journalists, flight crew say they thought they were on humanitarian mission."
41,0.9935789108276367,0.0,Explorer Dennis Schmitt found an island nearly two years ago near Greenland. Many climatologists and scientists say arctic ice melt is result of global warming. But others say it is simply the latest shift in the cyclical patterns of a planet's life. Most of the scientific community believes some warming is occurring.
43,0.956691324710846,0.12,"Stacy Peterson, 23, has been missing from her suburban Chicago home since October 28. Judge signs order to exhume body of Drew Peterson's third wife, found drowned in bathtub. Drew Peterson initially told media he believed his wife ran off with another man. Investigators have twice searched the couple's home and vehicles."
44,0.9842959642410278,0.0,Julia Vakulenko will face Lindsay Davenport in the final of the Bell Challenge. The Ukrainian will be seeking her first victory on the WTA Tour in Quebec. The 31-year-old American is seeking her second win in three tournaments since a baby.
46,0.984674334526062,0.0,"Robert A. Singer, 49, is chief operating officer of the National Children's Museum. He is charged with five counts of distributing child pornography in interstate commerce. Some of the pornographic images were sent from Singer's computer at the museum. Museum: ""We are horrified by the charges"""
47,0.9609587788581848,0.5,"NEW: Court-appointed attorney says Chester Arthur Stiles is ""a little out of it"" NEW: Girl's mother says she is ""relieved"" about Stiles' arrest. NEW: She says she will testify against Stiles if the case goes to court. Stiles, 37, charged with 23 felony counts, including lewdness, sexual assault."
48,0.9178673028945923,0.0,Dale Steyn takes career-best five for 34 as South Africa take tight grip on first test. New Zealand bowled out for 118 in reply to South Africa's 226 in Johannesburg. Hashim Amla and Jacques Kallis share an unbeaten stand of 159 as Proteas lead by 287.
49,0.8472762107849121,0.0,"Lazing in a hammock is one of the best ways to spend a summer evening. Running on the beach can get you into great shape. The best way to tie espadrilles is to cross and tie the laces once behind the ankle, then bring them forward and tie again."
50,0.9829262495040894,0.0,Jordan is allowing all Iraqi children -- regardless of refugee status -- to enroll in schools. Even illegal refugees with no paperwork can send their kids to school. The move is cementing a massive population shift in the Middle East. More than 2.2 million Iraqis have fled the violence in their homeland.
51,0.99724942445755,0.12,"NEW: Senate approves Michael Mukasey's nomination for attorney general by 53-40 vote. Nomination had been at risk because of questions about his views on waterboarding. U.S. and international law bans the technique, which produces the sensation of drowning. A majority of Americans consider waterboarding a form of torture."
52,0.9805906414985657,0.12,"Orme, Tennessee, relies on water trucked in from the next state. Mountain spring usually dries up at the end of summer, but just for a few days. This year it dried up early, on August 1, and hasn't revived. ""When they cut it back on we jump for joy,"" Orme resident Debbie Cash said."
53,0.9721896052360535,0.12,"U.S. safety officials voluntarily recalled about 4.2 million toys Wednesday. Toys contain chemical that, once metabolized, converts into toxic ""date rape"" drug. Children who swallow the beads can become comatose, develop respiratory depression. Toys have also been distributed in Australia under the name ""Bindeez Beads""."
54,0.9862565398216248,0.0,"Tens of thousands of Congolese refugees flee camps as rebel troops attack government forces. Roads to Goma, about 10 miles from the camps, were crowded with refugees. Torrential rain made the movement even more difficult. U.N. says 375,000Congolese in North Kivu province have been forced from homes."
55,0.9088153839111328,0.12,"Web sites, blogs, bulletin boards preach the gospel of the grape in terms they can understand. Mission of wine sites like ""Wine Library TV"" is to demystify wine (and in some cases, sell it) Many of the new converts to wine are the under-30 age group."
57,0.9743674397468567,0.0,"Bangladesh Red Crescent fears death toll from Cyclone Sidr could be as high as 10,000. Thousands are still missing, while an estimated 280,000 others are unable to return to homes. Cyclone raked Bangladesh's southwest coast on Thursday with maximum sustained winds of 241 km/h."
60,0.8342832326889038,0.0,Novak Djokovic crashes out of the Paris Masters after being beaten by Fabrice Santoro. The 34-year-old Frenchman won 6-3 6-2 in front of his home fans in Paris. World No. 3 has already qualified for the season-ending Masters Cup in Shanghai.
61,0.9696902632713318,0.0,Lipstick outsold gloss by $76 million last year. Condition and protect with a balm that contains sunscreen. Choose a soft shade such as rose or nude that you can apply straight from the tube. Makeup artists use the same lipsticks again and again.
63,0.8452836275100708,0.0,SPAM marks its 70th anniversary in 2007 which is also the Chinese Year of the Pig. National Museum of Funeral History features Civil War embalming display and replica of a turn-of-the-century casket factory. The Hobo Museum details history and culture of tramps.
64,0.9241542220115662,0.12,"Interpol makes global appeal for help to identify man from digitally reconstructed photos. Photos taken from the Internet show him sexually abusing underage boys. The man's face was disguised by digital alteration, but images could be restored. Interpol has determined photos were taken in Vietnam and Cambodia."
65,0.8833410739898682,0.0,"In 1851 Paul Julius Reuter opened an office in the City of London which transmitted stock market quotations between London and Paris. In 1865 Reuters was first in Europe with news of President Lincoln's assassination in the United States. Today Reuters has over 16,900 staff in over 94 countries."
66,0.9180580973625183,0.0,"NEW: Six of seven killed attended University of South Carolina. NEW: Six survivors are also USC students, university official says. One person described as ""unaccounted for"" was later confirmed dead. Mayor: ""We suffered a terrible tragedy at Ocean Isle this morning"""
67,0.9789668321609497,0.0,"Army Col. Don Farris: Attacks down 75 percent in recent months in northeastern Baghdad. Al Qaeda in Iraq presence has been ""crushed"" since beginning of May, he says. Iranian-backed Shiite militants still pose threat, Farris says. Despite improvements, ""we still have a lot of work to do,"" he warns."
68,0.9501622319221497,0.12,"NEW: Santiago fire moves into Silverado Canyon, authorities say. Driver of white truck seen on Santiago Canyon Road on Sunday, near time fire started. $250,000 reward offered for information leading to arrest of person or persons responsible. Santiago fire, now 27,000 acres, was deliberately set, officials said Thursday."
70,0.9900174736976624,0.0,"The company was founded in 1985 by seven communications industry veterans. OmniTRACS is currently the largest satellite-based commercial mobile system. Qualcomm is among the members of the S&P 500 Index, Fortune 500. The company has been listed among Fortune's ""100 Best Companies to work for"""
71,0.9256809949874878,0.12,"NEW: ""We have found the child, Madison. She's safe. The detectives say she is in good condition,"" sheriff says. Chester Arthur Stiles, 37, is being sought as a suspect, police say. Girl, now 7, was shown in a sex video made four years ago, detectives say."
73,0.9225858449935913,0.0,AC Milan's Brazilian midfielder Kaka has been named European player of the year. The 25-year-old was a major factor in AC Milan's triumphant Champions League campaign. Manchester United's Portuguese winger Cristiano Ronaldo was runner-up. Barcelona's Argentinian midfielder Lionel Messi finishing third.
74,0.9362139701843262,0.0,BUPA is an international health and care company with bases on three continents. BUPA's biggest and original business is health insurance in the UK. More than half of the UK's top companies are BUPA customers. The company's UK care homes offer specialist care to residents who include the elderly.
76,0.986811101436615,0.0,"MI5 chief says at least 2,000 people in Britain pose a threat to security. Jonathan Evans says the figure only includes those the intelligence services know about. He says there had been 200 terrorist convictions in Britain since the 9/11 attacks. Evans says resources that could be devoted to counter-terrorism are instead used."
77,0.9367144107818604,0.0,"Ruben Navarrette: Immigration restrictionists like to pretend they're so high-minded. He says they always take the low road and harken back to the nativism that greeted earlier waves. Some fear that those who thrive in dominant culture are losing their primacy, he says."
78,0.9926323294639587,0.0,"Juventus earn 1-1 home draw with Serie A leaders Inter Milan on Sunday. Mauro Camoranesi scored with 13 minutes left to earn Juventus a point. Inter retain their unbeaten record this season, despite injury problems. Roma miss out on the chance to close the gap on Inter when a late collapse saw them throw away a two-goal lead."
79,0.977590024471283,0.0,Four Australian troops have now died in the conflict in Afghanistan. The incident occurred in Tarin Kowt in Uruzgan province. Taliban militants killed an Australian commando. The 26-year-old commando -- Pvt. Luke Worsley of Sydney.
81,0.9502833485603333,0.0,France coach Raymond Domenech has omitted striker David Trezeguet from his squad. The 29-year-old has failed to win his way back into the 24-man party. France face the Moroccans on November 16 and then travel to the Ukraine on November 21.
82,0.9482552409172058,0.12,"Documents: Polygamist sect leader Warren Jeffs tried to hang himself earlier this year. Jeffs, leader and so-called prophet of 10,000-member Fundamentalist Church of Jesus Christ of Latter Day Saints. Documents: Jeffs confessed to ""immorality"" with a ""sister"" and a daughter more than 30 years ago."
83,0.9051046967506409,0.0,Ferrari's Kimi Raikkonen wins Chinese Grand Prix to keep title hopes alive. Championship leader Lewis Hamilton spun out of the race to end his chances. McLaren team-mate Fernando Alonso finished second to move within seven points of Hamilton. Hamilton can still clinch the title with a third place in the final race in Brazil.
84,0.9847869277000427,0.0,"CNN will be hosting three events looking at modern strategies in today's business arena. Boardroom Master classes will take place in the homes of the world's largest stock markets. One of the guests at the event will be Howard Schultz, chairman of the international coffee shop chain Starbucks."
85,0.9873417019844055,0.0,Sheikh Mohammed bin Isa Al Khalifa is the chief executive of the Economic Development Board. He is responsible for stimulating and supporting growth of the Bahraini economy. Sheikh Mohammed is concerned the nuclear dispute with Iran is deterring potential investors. He says Bahrain's strengths have been its human capital.
86,0.9474691152572632,0.12,"NEW: U.N. secretary-general condemns ""abjectly cowardly strike"" Two suspected car bombs strike Algiers within 10 minutes of each other. Algerian Interior Minister blames militant Islamic group with ties to al Qaeda. Al Qaeda Islamic Maghreb claims responsibility for attack."
87,0.9802748560905457,0.0,Barcelona defeated big-spending Atletico Madrid 3-0 to stay in touch with Real Madrid. Barcelona had thumped Atletico 6-0 on their own ground last season and the visitors were out for revenge. It was Barcelona's fourth straight league win but they still trail Real Madrid by two points.
88,0.9030852317810059,0.0,"The Japan Grand Prix is to return to the Fuji Speedway, a circuit that hasn't seen an F1 race since 1977. The old Fuji Speedway was the setting for the 1982 arcade game Pole Position. Computer-aided design (CAD) is as much a part of the design of a circuit these days as it is of the cars."
89,0.9275409579277039,0.0,"Celtic have been fined $50,800 by UEFA and AC Milan's Dida has been banned for two matches. The incident saw a pitch-invading supporter approach the Brazilian goalkeeper. Celtic may choose not to complain about their own punishment, with half of their fine suspended for two years."
90,0.8999791145324707,0.0,White House accuses Democrats of holding veterans care funding hostage. House passed health-labor-education bill last week with veterans funding attached. Senate later voted to strip out the veterans funding and send the bill to the president. President has threatened to veto the bill because of added spending.
91,0.9727603793144226,0.12,"Three University of Texas students emerge from cramped cave complex in Austin, Texas. The students were reported missing early Sunday after a trip into Airman's Cave. They were found about halfway down the 12,000-foot-long cave. Authorities do not know why the students were in the cave for so long."
92,0.9175583124160767,0.12,"U.S. first lady Laura Bush calls on Myanmar's military junta to ""step aside"" She says junta ""should step aside to make way for a unified Burma"" ""The rest of the armed forces should not fear this transition,"" she says. U.N. Secretary-General Ban Ki-moon calls Bush to update her on efforts."
93,0.9839602112770081,0.12,"NEW: House panel chairman calls veto ""not responsible and not credible"" President Bush says $600 billion spending bill laden with $10 billion in ""pork"" Bill would have funded departments of Labor, Education, Health and Human Services. Bush also demands Congress reform the alternative minimum tax."
94,0.9468908309936523,0.0,"France lock Sebastien Chabal has been cited for a dangerous tackle on England's Simon Shaw. The Sale Sharks forward will face a disciplinary hearing on Monday. Chabal was brought on in the 26th minute to replace the injured Fabien Pelous. If he is suspended, then Chabal will miss Friday's third and fourth-place match."
95,0.9884337782859802,0.12,"Colorado man terrorized by threats after testifying against daughter's boyfriend. Witness says he has spent $10,000 on security system, hired bodyguard for son's wedding. No national statistics on crimes against witnesses exist, and minimal research has been conducted. Colorado has $50,000 allocated to its witness protection budget."
96,0.978768527507782,0.12,Previously unseen footage of Diana shown to jury at inquest into her death. Footage shows her smiling as she and Dodi Fayed step into elevator at Ritz Hotel. Further footage shows Fayed visiting a jeweler's shop. British coroner says it may never be known for certain whether Diana was pregnant.
98,0.8598220348358154,0.12,"Rudy Giuliani, Mitt Romney trade jabs over illegal immigration. Sen. John McCain, Rep. Ron Paul spar over Iraq war. Mike Huckabee says Internal Revenue Service should be abolished. Retired brigadier general asks candidates if military is professional enough to work with gay troops."
99,0.8748384714126587,0.0,"Maj. Gen. Doug Stone oversees U.S. detention centers in Iraq. He says detainees get free medical care equal to what he gets as a general. About one-third -- or 8,000 -- are in school, with 7,000 having passed the fifth-grade."
100,0.9792409539222717,0.0,"Tennessee Supreme Court refuses to modify or overturn lower court ruling. Mary Winkler convicted of killing her minister husband, Matthew Winkler. Winkler has not seen her three daughters in 15 months, her attorney says. The children have been living with their grandparents since their mother was arrested."
101,0.9616640210151672,0.0,"GEO-TV and ARY Digital offer a variety of programming, including news, entertainment. Both networks had been banned from Pakistan's cable television system. Pakistan's president, Gen. Pervez Musharraf, has been under pressure to lift a state of emergency. The action prevents the two Pakistani networks from broadcasting worldwide."
103,0.9578373432159424,0.12,"Nasser al Ansari is the CEO of Qatari Diar, a state-owned real estate investment company. The company is famous for its purchase of London's Chelsea Barracks. Al Ansari was at the office of the First Deputy Prime Minister and Minister of Foreign Affairs as technical advisor."
104,0.8138103485107422,0.0,"42 people have been put to death this year, according to the Death Penalty Information Center. That figure is down 57 percent from what it was in 1999, when 98 inmates were executed. Texas continues to lead the nation, with 62 percent of executions nationwide this year. Overall, 86 percent this year were in the South."
105,0.9325457215309143,0.0,"Zenit Saint Petersburg clinch first Russian title in post-Soviet era with 1-0 win at Ramenskoye. Zenit finish top of the table with 61 points, two points ahead of second-placed Spartak Moscow. Nine-times champions Spartak beat city rivals Dynamo 2-1 in their final game."
106,0.9765645861625671,0.0,Scottish Premier League leaders Celtic held 1-1 by managerless Hibernian. Gordon Strachan's team head the table by three points from Glasgow rivals Rangers. Inverness Caledonian Thistle follow up last weekend's shock 3-2 victory against Celtic. Third-placed Motherwell miss the chance to move above Rangers after being beaten.
107,0.9854416847229004,0.12,"Churchgoers in six states have held prayer sessions along the side of Interstate 35. Some believe I-35 is what is mentioned in the Bible as the ""Highway of Holiness"" A Texas minister says she received a revelation to start this campaign. Most people, the religious and the non-religious alike, don't buy any of this."
108,0.9738885760307312,0.12,"Venezuelan government places higher tax on alcohol and cigarettes. Alcohol now 10 percent more expensive; cigarettes are 20 percent pricier. President Hugo Chavez is on a campaign to make Venezuelans cut back on drinking. Stores near schools, churches and cultural centers will not be granted licenses to sell alcohol."
109,0.89411860704422,0.12,"Two-thirds of adult Americans are overweight or obese, CDC says. Former President Clinton: ""We need to do something about it for our children"" CNN's Dr. Sanjay Gupta: ""There's a battle going on, and we need to win the battle"""
110,0.9045378565788269,0.0,India's Yuvraj Singh smashes six sixes in one over as England lose by 18 runs. Singh becomes first player to do so in Twenty20 matches and fourth in all senior cricket. South Africa beat New Zealand by six wickets to keep semifinal hopes alive.
111,0.9208113551139832,0.0,"NEW: Chester Arthur Stiles to appear in court Friday, court official says. NEW: Authorities have not yet decided if Stiles will appear in person or via video link. Stiles, 37, was taken into custody Monday night after a Henderson, Nevada, police officer pulled over the white Buick Century he was driving. A former girlfriend of Stiles' said that, before the arrest, she lived in fear."
114,0.9843393564224243,0.12,U.N. calls on NATO to do more to stop Afghan opium trade. Report shows export value of this year's poppy harvest stood at around $4 billion. Opium has accounted for more than half of Afghanistan's gross domestic product. 660 tons of heroin and morphine were trafficked out of the country in 2007.
115,0.9693493843078613,0.0,"David Nalbandian stuns world No. 1 Roger Federer in the Madrid Masters final. The Argentine, ranked 25th in the world, beat the Swiss star 1-6 6-3 6- 3. Federer was playing in his first tournament since winning the U.S. Open."
116,0.9626044631004333,0.12,"Juan Roman Riquelme scores twice as Argentina beat Bolivia 3-0 in World Cup qualifier. Midfielder follows up his brace of free-kicks in opening 2-0 victory against Chile. Argentina now five points clear of second-placed Brazil, who play Peru on Sunday."
117,0.970085859298706,0.0,"Sen. Hillary Clinton calls troop withdrawal ""too little, too late"" Sen. John Edwards calls for immediate withdrawal of 40,000 to 50,000 troops. Sen. Christopher Dodd says it's useless to debate tactics when ""the underlying policy is a complete failure"" President Bush expected to endorse Gen. David Petraeus' troop withdrawal recommendations."
118,0.8767359852790833,0.0,"""Inspiring Impressionism"" is organized by the Denver Art Museum. It opened Tuesday at the High Museum of Art, to run there through January 2008. With the backing of Northern Trust, the show will then travel to Denver February 23 to May 25, 2008. The Seattle Art Museum from June 19 to September 21, 2008, is host to pieces seen in Denver."
119,0.9833259582519531,0.0,Serbian defender Nemanja Vidic will play for Manchester United against Dynamo Kiev. Vidic sat out Saturday's 4-1 victory at Aston Villa after suffering concussion. Louis Saha definitely misses the tie with a long-term knee problem. Glasgow Rangers without Jean-Claude Darcheville and Brahim Hemdani.
120,0.9601593613624573,0.0,Pentagon preparing to set up new supply routes for troops in Iraq if Turkey cuts off U.S. access. Turkey incensed by resolution calling killing of Armenians by Ottoman Turks genocide. Turkey threatens to block access to Incirlik Air Base after resolution passed House committee. House Speaker Nancy Pelosi said she would bring measure to full House next month.
121,0.9811131954193115,0.0,"AC Milan goalkeeper Dida has had one game of his two-match ban suspended for a year. Brazilian Dida was also fined 60,000 Swiss francs by European football's ruling body. Dida will only serve the second match of his ban if he commits a similar offense in the next 12 months."
122,0.9800249934196472,0.0,"Lucky Dube, one of South Africa's most famous musicians, killed in attempted car-jacking. 43-year-old was killed in Johannesburg around 8 p.m. local time Thursday. His death casts a shadow over festivities ahead of rugby World Cup final."
123,0.8616651892662048,0.12,"""There was fear on their faces,"" passenger says of fellow passengers. Nationwide Airlines' Boeing 737 makes emergency landing in Cape Town, South Africa. Plane had only been in the air about 10 minutes before the engine fell. An object was sucked into the engine as the nose wheel lifted from the ground."
124,0.9918009638786316,0.0,"NEW: President Bush signs disaster declaration for seven California counties. FEMA director promises ""a different type of response than the federal government put together"" Katrina ""was a wake-up call"" and ""this is a new FEMA,"" David Paulison says. FEMA and other relief services face significantly different challenges in California."
125,0.9495496153831482,0.0,"Vince McMahon: ""Nothing from the WWE, under any set of circumstances had anything to do with Chris Benoit murdering his family"" Critics say WWE pushes its stars and non-stars, works them too many nights per year. WWE drug screening program began in February 2006; 30 wrestlers have been suspended."
126,0.962203323841095,0.0,"Justa Grata Honoria was Roman princess whose wild ways and naked ambition set off a chain reaction that culminated in the destruction of the Roman Empire. Smart, conniving, and ruthless, Honoria possessed all the attributes befitting a Roman emperor, except for that pesky Y chromosome. She seduced her brother's royal chamberlain and together, they plotted to murder Valentinian and seize power."
127,0.9652225375175476,0.0,"Football dignitaries gather in Sheffield, England, to celebrate Sheffield FC's 150th birthday. Guests of honor included Sepp Blatter, president of football world governing body FIFA. Inter Milan president Massimo Moratti scheduled to play friendly against Sheffield FC. Sheffield FC was instrumental in developing set rules for the game."
129,0.9928874373435974,0.0,Ronaldinho has been recalled to the Barcelona squad for Tuesday's Champions League match against Rangers. The Brazilian was omitted from the squad that lost 3-1 to Villarreal on Saturday after returning late from international duty. Barca will be without Deco for that match though after the Portuguese suffered a thigh injury.
130,0.8329228162765503,0.12,"Teen rallies seek to ""stage a reverse revolution"" against secular popular culture. Teen Mania estimates it has reached more than 2 million teens with its message. Founder Ron Luce has waged a modern-day crusade against ""purveyors of popular culture"" Opponents point to Luce's views on homosexuality, abortion, religion."
131,0.9626949429512024,0.0,"After more than a decade of relative peace, the bombings and assassinations have returned. The conspiracies, the car bombs, the threatening rhetoric are eerily familiar. The cast in Lebanon's tragedy has changed little in two decades. The struggle where religion and clan play the main roles threatens to set Lebanon back."
133,0.9114004373550415,0.0,"Sallie Krawcheck is the Chairman and Chief Executive of Citi Global Wealth Management. Dubbed the ""Mrs Clean"" of Wall Street, she was credited with restoring investors' faith in analyst reports. She has made Fortune's list of the World's Most Powerful Women every year since 2002."
134,0.9490833282470703,0.12,"Santiago Fire started in two places along a little-traveled road, official says. Santiago Fire has burned more than 25,000 acres in Southern California. Reward for information leading to an arrest has increased to $250,000. L.A. Fire Department investigating whether suspect had role in other blazes."
135,0.8528308272361755,0.12,NEW: Winds that gusted as much as 101 mph on Sunday drop to about 30 mph. NEW: Change in weather also means that firefighting aircraft can finally fly. Seven fires among 22 counted Wednesday were contained. About 500 homes lost in San Bernardino County east of Los Angeles.
136,0.9529225826263428,0.0,"NEW: Gillian Gibbons also faces deportation from Sudan after her prison term. Gibbons sentenced to 15 days in prison for allowing a teddy bear to be named ""Mohammed"" Gibbons, 54, was arrested Sunday after she asked her class of 7-year-olds to name the stuffed animal."
139,0.9001142978668213,0.0,Ann Curley has been a type I diabetic for 40 years. She uses a pump attached to a catheter in her body to monitor glucose levels. The pump drips insulin into the body to keep blood sugars constant. Curley: Being diagnosed with diabetes forced our family to eat healthily.
